Byrne Trail,Byrne-Milliron Forest,United States,Watsonville,California,45,2,37.0201,-121.793,4667.09,-842150451,-842150451,2304,2,2,1,252.984
Round Valley Perimeter Loop,Round Valley Regional Preserve,United States,Brentwood,California,22,2,37.8685,-121.75,12391.9,-842150451,-842150451,2112,2,2,1,341.986
Chaparral Ridge and Stewartville Loop,Black Diamond Mines Regional Park,United States,Somersville,California,13,2,37.9583,-121.863,3218.68,-842150451,-842150451,6208,2,2,1,168.859
Coyote Ridge Trail to Muir Beach,Golden Gate National Recreation Area,United States,Sausalito,California,70,2,37.8725,-122.542,8368.57,-842150451,-842150451,6145,2,1,1,417.881
Newark Slough Trail,Don Edwards San Francisco Bay National Wildlife Refuge,United States,Fremont,California,42,1,37.5321,-122.071,10460.7,-842150451,-842150451,6208,2,2,1,35.9664
Stream Trail Prince Trail and East Ridge Trail Loop,Redwood Regional Park,United States,Oakland,California,8,2,37.832,-122.185,5149.89,-842150451,-842150451,6400,2,2,1,172.822
Spanish Bay Trail,Moss Beach,United States,Del Monte Forest,California,4,1,36.6171,-121.938,4506.15,-842150451,-842150451,2049,2,1,1,23.7744
Paradise Point Via Atherton Road,Faklis Park,United States,Stockton,California,10,1,38.0486,-121.378,8046.7,-842150451,-842150451,2064,2,1,1,0
Englesman Lomng Meadow Eucalyptus Wilder Ridge Loop,Wilder Ranch State Park,United States,Santa Cruz,California,49,2,36.9602,-122.085,15449.7,-842150451,-842150451,6400,2,2,1,366.979
Towne Fire Road to Brook Trail Loop,Sam Mcdonald County Park,United States,La Honda,California,14,2,37.2965,-122.265,14162.2,-842150451,-842150451,6208,2,2,1,557.784
Hayward Regional Shoreline and Cogswell Marsh via SF Bay Trail,Hayward Regional Shoreline,United States,San Lorenzo,California,47,1,37.67,-122.158,10138.8,-842150451,-842150451,6209,2,1,1,19.812
Lodato Loop Trail,Lodato Open Space Preserve,United States,Scotts Valley,California,7,2,37.0528,-122.008,2092.14,-842150451,-842150451,2304,2,2,1,90.8304
North Ridge Trail,Angel Island State Park,United States,Belvedere-Tiburon,California,18,1,37.8686,-122.435,6437.36,-842150451,-842150451,2113,2,1,1,240.792
Bernal Hill and Vista Loop Trail,Santa Teresa County Park,United States,Edenvale,California,25,2,37.226,-121.799,4828.02,-842150451,-842150451,2112,2,2,1,231.953
Pelican Nature Trail,San Joaquin River National Wildlife Refuge,United States,Vernalis,California,55,1,37.6156,-121.212,6920.16,-842150451,-842150451,6480,2,2,1,19.812
Old Railroad Grade,Mount Tamalpais Watershed,United States,Mill Valley,California,16,2,37.9217,-122.556,21243.3,-842150451,-842150451,6400,2,1,1,648.919
Bird Island Trail,Point Lobos State Natural Reserve,United States,Carmel-by-the-Sea,California,9,1,36.5094,-121.942,1287.47,-842150451,-842150451,2048,0,2,1,22.86
North Rim Trail To Sierra Vista Point Loop,Alum Rock Park,United States,San Jose,California,22,2,37.3974,-121.8,9656.04,-842150451,-842150451,2048,0,1,1,434.95
Six Bridges Trail to Ben Ries Campground,Butano State Park,United States,Pescadero,California,5,1,37.2018,-122.339,3057.75,-842150451,-842150451,256,2,1,1,112.776
Fairy Gates Trail,Mount Sutro Open Space Reserve,United States,San Francisco,California,4,2,37.7608,-122.455,1287.47,-842150451,-842150451,256,2,1,1,61.8744
Sand Hill Trail,Sycamore Valley Open Space Preserve,United States,Danville,California,8,2,37.8088,-121.944,2092.14,-842150451,-842150451,2112,2,1,1,92.964
MacDonald Trail to Proctor Gate,Lake Chabot Regional Park,United States,Valle Vista,California,29,2,37.7982,-122.151,18185.5,-842150451,-842150451,6464,2,3,1,491.947
Sugarloaf Hill,Laurelwood Park,United States,San Mateo,California,38,1,37.5264,-122.324,3218.68,-842150451,-842150451,2048,2,2,1,179.832
Donner Creek Loop Trail,Mount Diablo State Park,United States,Clayton,California,381,2,37.9221,-121.927,8207.63,-842150451,-842150451,6240,0,2,2,353.873
Jones Novitiate Range and Manzanita Trails Loop,St. Joseph's Hill Open Space Preserve,United States,Los Gatos,California,38,2,37.2151,-121.985,4345.22,-842150451,-842150451,2304,2,2,1,187.757
Almaden Quicksilver McAbee Mine Trail New Almaden Trail,Almaden Quicksilver County Park,United States,San Jose,California,39,2,37.2144,-121.881,14162.2,-842150451,-842150451,6144,2,2,1,461.772
Webb Canyon New Almaden Cinnabar Mine Hill Randol and Prospect #3 Loop,Almaden Quicksilver County Park,United States,San Jose,California,12,2,37.204,-121.863,8690.44,-842150451,-842150451,320,2,2,1,253.898
Fossil Hill Loop Trail,Shell Ridge Open Space,United States,Walnut Creek,California,16,2,37.8999,-122.049,5310.82,-842150451,-842150451,2048,2,2,1,180.746
Quarry Park Loop Trail,,United States,Miramar,California,133,2,37.5036,-122.462,6437.36,-842150451,-842150451,6464,2,2,1,331.927
Hassler Loop Trail,Pulgas Ridge Open Space Preserve,United States,San Carlos,California,13,1,37.4747,-122.283,2253.08,-842150451,-842150451,2048,2,2,1,101.803
Slacker Hill via Morning Sun Alta SCA and Slacker Ridge,Golden Gate National Recreation Area,United States,Sausalito,California,5,2,37.853,-122.494,7081.1,-842150451,-842150451,2112,2,1,1,287.731
Ridge Coyote Peak and Hidden Springs Trail Loop,Santa Teresa County Park,United States,San Jose,California,14,1,37.2138,-121.786,2896.81,-842150451,-842150451,6144,2,2,1,134.722
Shoreline Trail: Salt Marsh Overlook,Robert W. Crown Memorial State Beach,United States,Alameda,California,40,1,37.7656,-122.273,5310.82,-842150451,-842150451,2049,2,1,1,5.7912
Seaborg and Mariposa Loop Trail,Briones Regional Park,United States,Orinda,California,16,2,37.9275,-122.155,11587.2,-842150451,-842150451,6464,2,2,1,460.858
Dolores Park Loop,Mission Dolores Park,United States,San Francisco,California,15,1,37.7598,-122.426,965.604,-842150451,-842150451,0,2,2,1,35.9664
Grizzly Gulch - Spike Jones Loop,Henry W. Coe State Park,United States,Gilroy,California,6,3,37.0761,-121.467,18668.3,-842150451,-842150451,4160,0,2,1,707.746
Coyote Creek Trail,,United States,Milpitas,California,21,1,37.4471,-121.923,14323.1,-842150451,-842150451,6400,2,1,1,39.9288
Sequoia Bayview Trail,Joaquin Miller Park,United States,Oakland,California,164,1,37.8077,-122.178,4506.15,-842150451,-842150451,6464,2,2,1,84.7344
Rhubarb Trail,Golden Gate National Recreation Area,United States,Mill Valley,California,5,1,37.861,-122.536,2414.01,-842150451,-842150451,6144,2,1,1,51.816
Eagle View Trail,Sunol Regional Wilderness,United States,Sunol,California,22,2,37.5154,-121.83,8690.44,-842150451,-842150451,2320,2,2,1,411.785
Wolf Ridge Trail to Marincello Trail Loop,Golden Gate National Recreation Area,United States,Tamalpais-Homestead Valley,California,63,2,37.8604,-122.536,9173.24,-842150451,-842150451,6209,0,2,1,394.716
Oil Well Road and Engineer Canyon Road Loop,Fort Ord National Monument,United States,Seaside,California,46,1,36.6263,-121.692,6598.29,-842150451,-842150451,6400,2,2,1,165.811
UCSC Upper Campus Trail,,United States,Santa Cruz,California,15,2,37.0208,-122.084,10138.8,-842150451,-842150451,6400,2,2,1,289.865
Back Canyon,Mount Diablo State Park,United States,Clayton,California,18,2,37.9221,-121.927,6437.36,-842150451,-842150451,6240,0,2,1,273.71
John Brooks Trail and Lake Loop Trail,Water Dog Lake Park,United States,Belmont,California,48,1,37.5105,-122.301,4667.09,-842150451,-842150451,264,2,2,1,144.78
Trail 41 and Trail 36 Loop,Fort Ord National Monument,United States,Salinas,California,27,2,36.6269,-121.691,15288.7,-842150451,-842150451,6208,2,2,1,378.866
Bay View Trail to Shoreline Trail Loop,China Camp State Park,United States,Santa Venetia,California,10,2,38.0093,-122.496,6437.36,-842150451,-842150451,2304,0,2,1,196.901
Moraga Steps,Grand View Park,United States,San Francisco,California,49,1,37.7562,-122.473,160.934,-842150451,-842150451,2050,2,1,1,9.7536
Big Canyon Trail,Big Canyon Park,United States,San Carlos,California,31,1,37.4842,-122.285,5471.76,-842150451,-842150451,6400,2,2,1,261.823
Grizzly Flat Trail to Table Mountain Loop,Upper Stevens Creek County Park,United States,Palo Alto,California,15,3,37.2906,-122.154,12231,-842150451,-842150451,2320,0,2,1,611.734
Table Mountain via Long Ridge,Upper Stevens Creek County Park,United States,Palo Alto,California,6,2,37.2907,-122.154,16415.3,-842150451,-842150451,6400,0,2,1,573.938
Old Moraga Ranch Trail ,,United States,Moraga,California,8,2,37.8144,-122.116,8690.44,-842150451,-842150451,6144,2,1,1,430.987
Loma Prieta Grade to Bridge Creek and West Ridge Loop,The Forest of Nisene Marks State Park,United States,Aptos,California,8,2,37.0059,-121.907,14001.3,-842150451,-842150451,6400,0,2,1,436.778
Chaparral Peak via Sonewall-Panoramic Trail Entranace,Claremont Canyon Regional Preserve,United States,Berkeley,California,12,3,37.8626,-122.244,6920.16,-842150451,-842150451,2112,2,1,1,456.895
Henry Coe Pacheco Falls Loop from Hunting Hollow via Kelly Lake,Henry W. Coe State Park,United States,Old Gilroy,California,5,2,37.0765,-121.465,49567.7,-842150451,-842150451,2368,0,2,1,1799.84
